milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
VNAF,1971-11-17,A-37,E421,TRENCH,DAMAGED,A-37,ATTACK
VNAF,1971-09-24,A-37,E435,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-03-20,A-1,D302,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1970-01-09,F-4,0541,TRUCKS,OBSERVED,F-4,"FIGHTER, BOMBER"
USMC,1972-12-31,A-4,8988,FOX HOLES,DESTROYED,A-4,FIGHTER
USAF,1971-08-24,AC-119,4230,BOATS\BARGES,DAMAGED,AC-119,TRANSPORT
USAF,1972-10-19,F-4,4845,RAILROAD BRIDGE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-02-16,F-4,1495,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1973-02-02,A-7,9007,CONSTRUCTION VEHICLES,DESTROYED,A-7,ATTACK
VNAF,1972-11-13,A-1,D350,CAVES,DAMAGED,A-1,FIGHTER
USAF,1971-08-07,F-4,8161,SUPPLY STORAGE\DMPS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-04-14,A-1,D305,TUNNELS,DESTROYED,A-1,FIGHTER
VNAF,1972-10-03,A-1,D327,CAVES,DESTROYED,A-1,FIGHTER
USAF,1973-04-18,A-7,6728,BRIDGE\ANY,DESTROYED,A-7,ATTACK
USAF,1972-12-17,F-4,7020,130MM GUN SITE,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-12-25,A-37,B163,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-11-26,A-37,6234,FOX HOLES,DAMAGED,A-37,ATTACK
VNAF,1972-02-18,A-1,C263,TUNNELS,DESTROYED,A-1,FIGHTER
VNAF,1970-02-11,A-37,7037,TRENCH,DESTROYED,A-37,ATTACK
USN,1971-01-21,A-6,1771,TRUCKS,DAMAGED,A-6,ATTACK
VNAF,1971-12-18,A-37,E408,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1973-04-27,A-7,6675,AMMO STORAGE\DUMP,DESTROYED,A-7,ATTACK
VNAF,1972-08-19,A-37,B156,TRENCH,DESTROYED,A-37,ATTACK
USN,1972-08-17,A-4,9036,TRENCH,DESTROYED,A-4,FIGHTER
USAF,1972-01-19,F-4,8619,VAN,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-06-09,A-7,1386,RAILROAD BRIDGE,DESTROYED,A-7,ATTACK
