milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
USAF,1972-09-29,F-4,1540,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-10-31,A-1,D016,ARTILLERY,DESTROYED,A-1,FIGHTER
USAF,1970-04-19,F-100,5005,TRENCH,DESTROYED,F-100,"FIGHTER, BOMBER"
RLAF,1971-09-23,T-28,1390,CAVES,DAMAGED,T-28,TRAIN
USAF,1973-04-27,F-4,6605,BOATS\BARGES,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-10-03,A-1,D320,12.7 GUN SITE,DESTROYED,A-1,FIGHTER
USAF,1971-04-24,A-37,5524,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1972-01-09,A-37,6211,BRIDGE\ANY,DAMAGED,A-37,ATTACK
USAF,1971-08-28,F-4,8108,POL BARRELS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-05-14,F-100,4495,CAVES,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1973-01-25,A-37,E473,CAVES,DESTROYED,A-37,ATTACK
USN,1972-05-09,F-4,9620,TANK,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1970-01-16,F-5,7301,ARTILLERY,DAMAGED,F-5,FIGHTER
VNAF,1972-11-11,A-37,E452,CAVES,DAMAGED,A-37,ATTACK
USAF,1972-10-29,A-7,6027,FORDS\SUBSURFACE BRIDGE,DESTROYED,A-7,ATTACK
USAF,1972-06-23,F-4,6743,SAM LAUNCHER\EQMT,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-09-25,A-37,C213,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1970-09-06,A-1,D690,TRENCH,DESTROYED,A-1,FIGHTER
USN,1972-07-07,F-4,1368,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
USMC,1973-01-25,A-4,8969,TRENCH,DESTROYED,A-4,FIGHTER
USN,1971-11-15,A-7,9211,SUPPLIES\RICE\WEAPONS,DESTROYED,A-7,ATTACK
USAF,1970-01-08,A-1,1626,MORTAR SITE,DESTROYED,A-1,FIGHTER
USAF,1972-08-01,F-4,6800,BRIDGE\ANY,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-12-13,A-1,D350,CAVES,DESTROYED,A-1,FIGHTER
USAF,1971-05-30,F-4,8112,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-06-25,F-100,4774,POL BARRELS,DESTROYED,F-100,"FIGHTER, BOMBER"
USN,1972-09-27,A-7,9567,WAREHOUSE,DAMAGED,A-7,ATTACK
VNAF,1972-09-01,A-37,E441,CAVES,DESTROYED,A-37,ATTACK
VNAF,1970-03-16,F-5,E014,TRENCH,DESTROYED,F-5,FIGHTER
USAF,1973-07-10,A-7,6651,MACHINE GUN (ANY),DESTROYED,A-7,ATTACK
USAF,1970-06-25,A-37,4740,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1970-01-10,F-4,0460,FORDS\SUBSURFACE BRIDGE,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-06-10,A-37,E408,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1971-04-16,A-37,E279,TRENCH,DESTROYED,A-37,ATTACK
USN,1972-04-14,F-4,9644,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-06-11,F-100,8064,SAMPANS,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1970-05-01,A-37,B807,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-01-07,A-37,E417,TUNNELS,DESTROYED,A-37,ATTACK
USN,1973-01-15,A-6,9609,BRIDGES,DESTROYED,A-6,ATTACK
VNAF,1972-10-07,A-37,B151,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-01-17,A-37,E437,TUNNELS,DAMAGED,A-37,ATTACK
VNAF,1973-01-18,A-1,C612,CAVES,DESTROYED,A-1,FIGHTER
VNAF,1972-08-31,A-37,B158,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1972-05-16,F-4,7249,POL BARRELS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-12-28,F-100,4830,STORAGE AREA,DESTROYED,F-100,"FIGHTER, BOMBER"
USAF,1971-02-22,F-4,1961,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-06-16,A-37,5801,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-03-15,A-37,E435,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1971-03-24,A-37,E851,TRENCH,DESTROYED,A-37,ATTACK
USAF,1973-07-16,A-7,6705,FOX HOLES,DAMAGED,A-7,ATTACK
USN,1972-08-31,A-4,9028,TRUCKS,DAMAGED,A-4,FIGHTER
VNAF,1972-08-06,A-1,D347,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1970-05-04,A-37,B841,TRENCH,DESTROYED,A-37,ATTACK
USMC,1972-12-07,A-4,8990,FOX HOLES,DESTROYED,A-4,FIGHTER
VNAF,1971-07-01,A-1,D308,TRENCH,DESTROYED,A-1,FIGHTER
USN,1971-02-05,A-7,1704,FORDS\SUBSURFACE BRIDGE,DESTROYED,A-7,ATTACK
VNAF,1972-01-21,A-37,B167,ROADS\HIGHWAYS,DAMAGED,A-37,ATTACK
USAF,1970-01-05,F-100,5507,TRENCH,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1971-05-21,A-37,E435,SAMPANS,DAMAGED,A-37,ATTACK
USAF,1971-07-08,F-4,5713,FOX HOLES,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-10-03,OV-10,7715,SAMPANS,DAMAGED,OV-10,"ATTACK, OBSERV"
USAF,1971-11-02,A-37,6230,12.7 GUN SITE,DESTROYED,A-37,ATTACK
USAF,1971-06-05,F-4,7262,SUPPLY STORAGE\DMPS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1971-05-29,F-4,7307,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1970-11-16,F-5,D428,FOX HOLES,DESTROYED,F-5,FIGHTER
USN,1970-01-05,A-6,1843,TRUCKS,OBSERVED,A-6,ATTACK
VNAF,1972-03-02,A-37,E416,TUNNELS,DAMAGED,A-37,ATTACK
USAF,1972-12-12,A-7,6011,BRIDGE\ANY,DESTROYED,A-7,ATTACK
VNAF,1971-09-20,A-1,D303,TRAILS,DESTROYED,A-1,FIGHTER
RAAF,1970-06-15,B-57,6422,MORTAR SITE,DESTROYED,B-57,"TACTICAL, BOMBER"
VNAF,1970-05-15,F-5,E899,TRENCH,DESTROYED,F-5,FIGHTER
USAF,1970-07-22,F-4,8011,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-11-25,A-37,E462,CAVES,DESTROYED,A-37,ATTACK
VNAF,1970-03-11,A-1,D217,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1971-11-28,A-1,D336,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1971-07-01,AC-119,4230,SAMPANS,DAMAGED,AC-119,TRANSPORT
USAF,1973-05-25,F-4,6925,MORTAR SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-09-13,A-37,E413,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1970-12-11,F-4,1497,CAVES,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-03-25,A-37,E427,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1971-11-24,A-1,D328,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1971-08-30,A-1,C256,SAMPANS,DESTROYED,A-1,FIGHTER
USAF,1972-08-12,F-4,6997,ARMORED VEHICLE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-11-02,A-37,E407,AGRICULTURAL AREA,DESTROYED,A-37,ATTACK
VNAF,1971-12-23,A-37,E429,TUNNELS,DAMAGED,A-37,ATTACK
USAF,1971-06-30,AC-130,7933,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1972-12-18,A-1,C271,CAVES,DESTROYED,A-1,FIGHTER
USAF,1971-11-07,AC-130,8225,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1970-07-10,A-37,5039,TRENCH,DESTROYED,A-37,ATTACK
USN,1972-07-17,A-7,1392,TRUCKS,DAMAGED,A-7,ATTACK
VNAF,1972-03-17,A-37,E405,SAMPANS,DESTROYED,A-37,ATTACK
RLAF,1971-01-06,T-28,7802,SUPPLIES\RICE\WEAPONS,DESTROYED,T-28,TRAIN
USAF,1971-12-06,AC-119,5266,TRUCKS,DAMAGED,AC-119,TRANSPORT
VNAF,1972-07-20,A-1,D320,AA SITE,DESTROYED,A-1,FIGHTER
USAF,1970-05-23,F-100,5317,BRIDGE\ANY,DAMAGED,F-100,"FIGHTER, BOMBER"
USAF,1971-12-23,F-4,7053,85MM GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-02-19,A-4,9022,TRUCKS,DESTROYED,A-4,FIGHTER
VNAF,1972-04-21,A-37,E424,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1973-01-02,A-1,D344,TRAILS,DESTROYED,A-1,FIGHTER
USN,1972-07-07,A-4,1378,BOATS\BARGES,DAMAGED,A-4,FIGHTER
VNAF,1972-05-17,A-37,E426,TUNNELS,DESTROYED,A-37,ATTACK
USN,1970-12-15,A-7,1702,TRUCKS,DAMAGED,A-7,ATTACK
VNAF,1972-10-03,A-37,E431,CAVES,DESTROYED,A-37,ATTACK
VNAF,1972-01-26,A-37,E426,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-09-03,A-37,E421,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-12-25,F-4,7063,AAA\37MM  CR MORE,OBSERVED,F-4,"FIGHTER, BOMBER"
VNAF,1972-12-22,A-37,E415,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1970-12-08,A-37,E790,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-07-29,OV-10,4396,SAMPANS,DAMAGED,OV-10,"ATTACK, OBSERV"
VNAF,1972-03-08,F-5,D378,TRENCH,DESTROYED,F-5,FIGHTER
USAF,1971-05-25,F-4,5703,POL BARRELS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-10-09,A-37,E459,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-01-24,A-37,E430,TUNNELS,DAMAGED,A-37,ATTACK
USN,1973-02-08,A-7,9029,STORAGE AREA,DESTROYED,A-7,ATTACK
USN,1972-08-20,A-7,9259,STORAGE AREA,DESTROYED,A-7,ATTACK
USAF,1973-04-06,F-4,1500,WAREHOUSE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-09-06,A-1,D691,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1973-05-17,F-4,6921,MACHINE GUN (ANY),DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-03-11,A-37,E429,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-06-21,A-37,5522,AUTO WEAPONS\ZPU,DESTROYED,A-37,ATTACK
USAF,1971-06-08,A-37,5563,SUPPLY STORAGE\DMPS,DAMAGED,A-37,ATTACK
USAF,1971-08-10,A-1,8172,BOATS\BARGES,DAMAGED,A-1,FIGHTER
USN,1972-07-12,A-7,3228,TRUCKS,DESTROYED,A-7,ATTACK
USAF,1973-04-22,F-4,6604,CRATE\STORAGE CONT,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-08-04,A-7,6676,SAMPANS,DESTROYED,A-7,ATTACK
VNAF,1970-12-17,A-37,E968,FOX HOLES,DESTROYED,A-37,ATTACK
USN,1971-12-25,A-7,9337,TRUCKS,DAMAGED,A-7,ATTACK
USAF,1970-02-14,F-100,5301,FOX HOLES,DESTROYED,F-100,"FIGHTER, BOMBER"
USN,1972-02-25,A-4,9046,AAA\37MM  CR MORE,DESTROYED,A-4,FIGHTER
USAF,1971-05-14,AC-130,7922,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1970-01-09,F-4,0999,TRUCKS,OBSERVED,F-4,"FIGHTER, BOMBER"
USAF,1970-07-09,A-37,5232,TRENCH,DESTROYED,A-37,ATTACK
USAF,1970-06-18,F-100,5331,FOX HOLES,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-11-22,A-1,C281,12.7 GUN SITE,DESTROYED,A-1,FIGHTER
VNAF,1972-03-20,A-37,E438,TUNNELS,DAMAGED,A-37,ATTACK
USN,1972-05-01,A-7,1365,TRUCKS,DAMAGED,A-7,ATTACK
VNAF,1972-04-21,A-37,B140,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1970-02-01,F-5,7313,TRENCH,DESTROYED,F-5,FIGHTER
USN,1972-07-09,A-4,1364,TRUCKS,DAMAGED,A-4,FIGHTER
USN,1972-09-16,A-7,1597,WATERCRAFT,DAMAGED,A-7,ATTACK
USAF,1971-04-25,F-4,8161,AMO\POL\SUP\CRT,DESTROYED,F-4,"FIGHTER, BOMBER"
RAAF,1970-12-30,B-57,6100,LANDING ZONE PREP,OBSERVED,B-57,"TACTICAL, BOMBER"
VNAF,1972-08-12,A-37,B113,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1973-06-01,F-4,6964,12.7 GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-04-03,A-37,E406,TUNNELS,DESTROYED,A-37,ATTACK
USN,1972-06-27,A-7,9237,MORTAR SITE,DESTROYED,A-7,ATTACK
VNAF,1972-04-28,A-1,D303,TUNNELS,DESTROYED,A-1,FIGHTER
USAF,1971-07-31,AC-119,4240,BOATS\BARGES,DAMAGED,AC-119,TRANSPORT
VNAF,1972-07-28,A-1,D344,MORTAR SITE,DESTROYED,A-1,FIGHTER
VNAF,1972-11-11,A-1,D356,CAVES,DESTROYED,A-1,FIGHTER
USAF,1972-05-19,AC-130,5158,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1970-03-12,A-37,D248,TRENCH,DESTROYED,A-37,ATTACK
USAF,1972-12-09,A-7,6002,TANK,DESTROYED,A-7,ATTACK
USAF,1973-02-15,A-7,6054,TRUCKS,DAMAGED,A-7,ATTACK
USAF,1972-02-13,A-37,6504,SUPPLIES\RICE\WEAPONS,DESTROYED,A-37,ATTACK
VNAF,1972-11-09,A-37,C652,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1971-08-10,A-37,5412,TRUCKS,DESTROYED,A-37,ATTACK
RLAF,1971-08-14,T-28,1392,12.7 GUN SITE,DESTROYED,T-28,TRAIN
USAF,1970-06-09,F-100,4972,TUNNELS,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-04-21,A-37,B106,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1970-06-02,F-100,4489,SAMPANS,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1971-07-01,A-37,E434,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-10-31,A-37,E455,CAVES,DESTROYED,A-37,ATTACK
VNAF,1971-11-01,A-1,D313,TRENCH,DESTROYED,A-1,FIGHTER
VNAF,1972-12-23,A-1,D310,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1971-11-02,F-4,8698,AAA\37MM  CR MORE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-01-06,A-1,D338,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-06-11,A-37,E419,FOX HOLES,DESTROYED,A-37,ATTACK
USMC,1970-01-04,F-4,1006,TRUCKS,OBSERVED,F-4,"FIGHTER, BOMBER"
VNAF,1971-12-13,A-1,D339,TUNNELS,DESTROYED,A-1,FIGHTER
VNAF,1972-03-06,F-5,D378,BRIDGE\ANY,DESTROYED,F-5,FIGHTER
VNAF,1972-07-31,A-37,B111,AAA SITE UNK CAL,DESTROYED,A-37,ATTACK
USAF,1973-06-16,A-7,6345,AIRCRAFT ON GROUND,DESTROYED,A-7,ATTACK
VNAF,1972-01-04,A-37,E404,TRENCH,DESTROYED,A-37,ATTACK
USAF,1972-10-03,OV-10,7707,TRUCKS,DESTROYED,OV-10,"ATTACK, OBSERV"
VNAF,1972-09-11,A-37,E435,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-05-11,A-1,D336,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1971-08-15,A-37,E409,TRENCH,DAMAGED,A-37,ATTACK
USAF,1970-05-25,F-4,1409,CAVES,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1970-03-20,OV-10,8180,TRENCH,DESTROYED,OV-10,"ATTACK, OBSERV"
USAF,1971-06-11,A-37,5264,AAA SITE UNK CAL,DESTROYED,A-37,ATTACK
VNAF,1972-11-03,A-1,C618,TRUCKS,DESTROYED,A-1,FIGHTER
USN,1972-06-20,A-7,1386,BOATS\BARGES,DESTROYED,A-7,ATTACK
USAF,1970-06-07,F-100,4842,TRUCKS,DESTROYED,F-100,"FIGHTER, BOMBER"
USAF,1971-12-01,F-4,8563,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-03-10,OV-10,7658,FOX HOLES,DESTROYED,OV-10,"ATTACK, OBSERV"
USAF,1973-08-01,F-4,6845,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1970-09-09,A-6,1844,TRUCKS,DESTROYED,A-6,ATTACK
VNAF,1972-03-06,A-37,E414,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-11-30,A-37,E415,FOX HOLES,DAMAGED,A-37,ATTACK
USAF,1971-03-07,AC-119,1114,TRUCKS,DAMAGED,AC-119,TRANSPORT
USAF,1970-02-26,F-105,1445,TRENCH,DAMAGED,F-105,"FIGHTER, BOMBER"
USAF,1973-05-19,F-4,6929,MACHINE GUN (ANY),DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-05-19,F-4,8197,TRENCH,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-06-30,F-4,0415,POL BARRELS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-08-06,F-4,6964,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USAF,1972-05-03,F-4,7050,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-07-28,A-7,9421,TRUCKS,DAMAGED,A-7,ATTACK
USAF,1972-08-22,F-4,6833,TANK,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-12-13,A-37,E417,TUNNELS,DAMAGED,A-37,ATTACK
USMC,1971-05-07,A-4,7263,POL BARRELS,DESTROYED,A-4,FIGHTER
VNAF,1972-04-16,F-5,D377,AA SITE,DESTROYED,F-5,FIGHTER
USAF,1971-04-21,A-37,5549,TRUCKS,DESTROYED,A-37,ATTACK
USAF,1971-04-26,AC-130,7936,TRUCKS,DAMAGED,AC-130,ATTACK
VNAF,1971-01-18,A-37,E591,FOX HOLES,DESTROYED,A-37,ATTACK
USN,1973-01-22,A-7,9840,TRENCH,DESTROYED,A-7,ATTACK
USMC,1971-02-21,A-4,6464,FOX HOLES,DESTROYED,A-4,FIGHTER
USN,1971-05-13,A-7,8563,TRUCKS,DESTROYED,A-7,ATTACK
USN,1972-09-18,A-7,1627,BRIDGES,DESTROYED,A-7,ATTACK
VNAF,1972-11-15,A-37,E406,TRENCH,DESTROYED,A-37,ATTACK
USAF,1970-09-15,F-100,5264,FOX HOLES,DESTROYED,F-100,"FIGHTER, BOMBER"
VNAF,1972-07-13,A-37,C207,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1970-05-05,F-100,5821,FOX HOLES,DAMAGED,F-100,"FIGHTER, BOMBER"
USMC,1972-11-04,A-4,8999,FOX HOLES,DESTROYED,A-4,FIGHTER
VNAF,1970-04-18,F-5,D058,TRENCH,DESTROYED,F-5,FIGHTER
USAF,1973-04-10,F-4,6380,AAA SITE UNK CAL,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-01-18,F-4,1422,BOATS\BARGES,DESTROYED,F-4,"FIGHTER, BOMBER"
USMC,1971-01-25,A-4,0509,SUPPLIES\RICE\WEAPONS,DESTROYED,A-4,FIGHTER
USAF,1970-01-03,A-1,1527,TRUCKS,OBSERVED,A-1,FIGHTER
VNAF,1972-12-13,A-1,D320,CAVES,DESTROYED,A-1,FIGHTER
USAF,1973-01-30,F-4,6800,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-07-17,A-37,B668,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1970-11-15,B-57,1005,TRUCKS,DAMAGED,B-57,"TACTICAL, BOMBER"
USAF,1971-01-10,AC-119,1114,TRUCKS,DAMAGED,AC-119,TRANSPORT
USAF,1971-09-21,F-4,5402,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-06-28,F-4,8147,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-07-18,F-4,0449,POL BARRELS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-09-20,F-4,7016,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
USN,1972-06-16,A-7,1383,WATERCRAFT,DESTROYED,A-7,ATTACK
USAF,1972-11-14,F-4,6729,WATERCRAFT,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-10-09,A-37,5200,FOX HOLES,DAMAGED,A-37,ATTACK
USAF,1972-06-30,F-4,7030,RADAR SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-11-28,A-37,E412,TUNNELS,DAMAGED,A-37,ATTACK
VNAF,1972-04-03,F-5,D376,FOX HOLES,DESTROYED,F-5,FIGHTER
USAF,1973-03-17,A-7,6822,STORAGE AREA,DESTROYED,A-7,ATTACK
VNAF,1972-07-02,A-37,E416,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-10-11,A-37,B157,MORTAR SITE,DESTROYED,A-37,ATTACK
VNAF,1970-11-16,A-1,D425,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1970-04-13,F-4,0921,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-06-28,A-37,B138,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1971-12-20,A-37,E412,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-01-01,A-37,E439,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-03-17,A-37,C213,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-03-31,A-37,E425,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-08-03,F-4,7201,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-04-01,AC-119,1119,TRUCKS,DESTROYED,AC-119,TRANSPORT
VNAF,1972-11-19,A-1,C278,CAVES,DESTROYED,A-1,FIGHTER
USAF,1971-07-27,AC-130,7964,TRUCKS,DAMAGED,AC-130,ATTACK
RLAF,1970-05-28,T-28,7802,STORAGE AREA,DESTROYED,T-28,TRAIN
USAF,1970-02-17,A-1,1046,TRUCKS,DESTROYED,A-1,FIGHTER
USAF,1970-07-27,F-100,8022,TRUCK PARK,DAMAGED,F-100,"FIGHTER, BOMBER"
USAF,1973-04-08,F-4,6928,FORDS\SUBSURFACE BRIDGE,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-08-19,A-1,D308,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-12-17,A-37,E466,FOX HOLES,DAMAGED,A-37,ATTACK
VNAF,1971-12-11,A-37,E411,TUNNELS,DAMAGED,A-37,ATTACK
RLAF,1972-04-22,T-28,1390,57MM GUN SITE,DESTROYED,T-28,TRAIN
USAF,1971-12-15,A-37,6223,FOX HOLES,DAMAGED,A-37,ATTACK
USAF,1971-07-02,F-4,7271,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-08-31,A-37,E407,TRENCH,DESTROYED,A-37,ATTACK
USMC,1972-10-04,A-4,8882,POL BARRELS,DESTROYED,A-4,FIGHTER
USN,1972-12-14,A-7,9065,BRIDGE\ANY,DAMAGED,A-7,ATTACK
USAF,1971-03-22,AC-130,1121,TRUCKS,DESTROYED,AC-130,ATTACK
USAF,1972-06-15,F-4,7039,VAN,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-04-07,A-37,B225,TRENCH,DESTROYED,A-37,ATTACK
USAF,1971-07-23,OV-10,4307,FOX HOLES,DAMAGED,OV-10,"ATTACK, OBSERV"
USAF,1971-04-05,F-4,5705,LANDING ZONE PREP,OBSERVED,F-4,"FIGHTER, BOMBER"
USAF,1971-11-18,F-4,8112,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-10-19,A-1,D340,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1970-06-14,F-4,4204,CAVES,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1971-01-06,AC-119,1116,TRUCKS,DAMAGED,AC-119,TRANSPORT
USN,1972-01-31,A-6,9353,TRUCKS,DESTROYED,A-6,ATTACK
USAF,1973-07-30,F-4,6959,TRENCH,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-07-01,A-37,E431,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1971-01-04,A-37,E294,SAMPANS,DESTROYED,A-37,ATTACK
VNAF,1971-02-03,A-1,C788,FOX HOLES,DESTROYED,A-1,FIGHTER
USMC,1970-06-18,A-6,0953,TRUCKS,DAMAGED,A-6,ATTACK
USAF,1973-01-15,AC-130,5327,BOATS\BARGES,DAMAGED,AC-130,ATTACK
VNAF,1972-07-03,A-37,B121,TRENCH,DESTROYED,A-37,ATTACK
USAF,1973-05-01,A-7,6667,FOX HOLES,DESTROYED,A-7,ATTACK
RAAF,1971-05-18,B-57,6104,STORAGE AREA,DESTROYED,B-57,"TACTICAL, BOMBER"
USMC,1972-12-09,F-4,8936,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-02-07,A-37,C214,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-01-02,A-1,D314,FOX HOLES,DAMAGED,A-1,FIGHTER
USN,1971-01-04,A-4,1808,TRENCH,DAMAGED,A-4,FIGHTER
USAF,1971-11-03,F-4,7045,ARTILLERY,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-10-02,A-1,D312,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1972-07-17,AC-119,5257,TRUCKS,DAMAGED,AC-119,TRANSPORT
VNAF,1971-09-07,F-5,D354,TRENCH,DESTROYED,F-5,FIGHTER
USMC,1970-04-16,A-6,0966,TRUCKS,DAMAGED,A-6,ATTACK
USN,1972-02-23,A-4,9002,TRUCKS,DAMAGED,A-4,FIGHTER
VNAF,1972-07-30,A-37,E402,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1972-01-23,AC-119,5267,TRUCKS,DAMAGED,AC-119,TRANSPORT
USN,1972-08-11,A-6,9264,AAA\37MM  CR MORE,DESTROYED,A-6,ATTACK
USMC,1972-11-25,A-4,8992,FOX HOLES,DAMAGED,A-4,FIGHTER
VNAF,1972-04-29,F-5,D374,TRAILS,DESTROYED,F-5,FIGHTER
VNAF,1971-01-09,F-5,D773,TRENCH,DESTROYED,F-5,FIGHTER
VNAF,1972-04-02,A-1,B165,TANK,DESTROYED,A-1,FIGHTER
USAF,1972-02-11,A-37,6220,PONTOON BRIDGE,DESTROYED,A-37,ATTACK
USMC,1972-11-17,A-4,8968,CONFIRM ENEMY LOC,DAMAGED,A-4,FIGHTER
