game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
2018020089,8474641,24,1020,0,1,1,0,0,0,2,6,14,0,0,0,0,1,1,889,0,131
2018020113,8474641,24,880,0,0,0,1,0,0,0,5,8,0,0,0,0,0,-1,682,75,123
2018020117,8474641,24,903,0,0,1,0,0,0,0,4,8,0,0,0,0,0,-1,673,106,124
2018020127,8474641,24,898,0,0,0,1,0,0,0,2,6,2,0,0,0,1,-2,524,40,334
2018020140,8474641,24,653,0,0,1,1,0,0,2,4,6,0,0,0,0,0,-1,539,70,44
2018020164,8474641,24,1103,1,0,1,2,0,0,0,4,11,0,0,0,0,1,0,883,103,117
2018020176,8474641,24,1014,0,0,1,0,0,0,0,6,12,0,0,0,0,1,0,671,153,190
2018020189,8474641,24,1124,0,0,1,0,0,0,0,9,12,0,0,0,0,2,1,812,93,219
2018020209,8474641,24,1284,1,0,1,1,0,0,0,10,20,0,0,0,0,1,1,760,196,328
2018020222,8474641,24,1101,0,0,3,0,0,0,0,7,12,0,0,0,0,1,0,896,0,205
2018020226,8474641,24,890,0,1,2,0,0,0,0,4,5,0,1,0,0,1,1,667,41,182
2018020241,8474641,24,918,0,0,2,3,0,0,0,3,9,0,0,0,0,1,-1,739,96,83
2018020263,8474641,24,1149,0,0,1,0,0,0,2,15,23,0,1,0,0,1,0,830,201,118
2018020276,8474641,24,926,0,0,0,0,0,0,0,9,13,0,0,0,0,0,-1,634,188,104
2018020291,8474641,24,929,1,0,0,0,0,0,0,8,13,0,2,0,0,1,0,849,30,50
2018020307,8474641,24,1164,1,0,3,0,0,1,0,11,15,1,0,0,0,1,0,989,13,162
2018020330,8474641,24,1092,0,1,3,0,0,0,0,9,18,0,0,0,0,1,0,752,70,270
2018020337,8474641,24,1062,0,0,3,0,0,0,0,8,14,0,0,0,0,1,0,885,29,148
